term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Cerebral Tissue Oxygenation Saturation,"Cerebral tissue oxygenation saturation (SctO2) is a measurement of the level of oxygen saturation in the cerebral tissue of the brain. It is typically expressed as a percentage and can be obtained by some approaches with near-infrared spectroscopy (NIRS) technology. SctO2 reflects the proportion of hemoglobin molecules in the cortical  blood vessels that are bound to oxygen, and it provides valuable information about the oxygen supply to the brain. Monitoring SctO2 is important in various clinical settings, including critical care, surgery, and neonatology, as changes in SctO2 can indicate conditions such as cerebral hypoxia, ischemia, and reperfusion injury, which require prompt clinical interventions to improve brain perfusion and oxygenation.",Neuroscience,,"SrO2, SctO2, rSO2, TOI, TSI, ScO2",,"<a href=""https://doi.org/10.1088/0031-9155/48/15/311 "" target=""_blank"">https://doi.org/10.1088/0031-9155/48/15/311 </a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2012.01.040 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2012.01.040 
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2004.07.013 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2004.07.013 
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2023.120189 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2023.120189 
</a>", , , ,Hadi Hosseini,"Ali Rahimpour Jounghani, Margaret Chojak, Meryem Ayşe Yücel, Yoko Hoshi, Judit Gervain",Complete (agreement from at least 5 team members)
Cerebrovascular reactivity,"Cerebrovascular reactivity (CVR) is the ability of blood vessels to change their diameter to adjust tissue blood supply based on tissue demand. One important modulator is partial CO$_2$ pressure in the blood. CVR is a crucial regulatory component of the neurovascular coupling system, ensuring sufficient blood supply and oxygenation to the brain. It is often assessed using CO$_2$ challenges (e.g. increase in partial CO$_2$  pressure through forced CO$_2$  inspiration). CVR can be investigated by measuring the change in cerebral blood flow (CBF) or cerebral blood volume (CBV). CVR is a useful index for the assessment of vascular health in several pathologies, including stroke and neurodegenerative disorders such as Alzheimer's and Parkinson's diseases. ",Neuroscience,"Cerebral blood flow, Cerebral blood volume",CVR,,"<a href="" https://doi.org/10.3389/fphys.2021.643468/full "" target=""_blank""> https://doi.org/10.3389/fphys.2021.643468/full </a>", , , ,David Mehler," Beatrix Barth, Renato Orti, Rob J MacLennan, Divya Jain, Hadi Hosseini, Judit Gervain, Simone Cutini",Complete (agreement from at least 5 team members) 
Chromophore,"A chromophore is a molecule that absorbs light within a specific wavelength range, spanning from ultraviolet to infrared light. Within the near-infrared spectrum, the primary chromophores in biological tissues include water, hemoglobin, lipids, and cytochrome oxidase. Notably, light achieves its deepest penetration into tissue at wavelengths approximately between 700 and 900 nm. Functional Near-Infrared Spectroscopy (fNIRS) employs multiple wavelengths in order to sensitively distinguish between changes in the concentrations of oxyhemoglobin and deoxyhemoglobin, providing valuable insights into tissue oxygenation and, by extension, neural activity.",Neuroscience," hemoglobin, cytochrome, wavelength",,,"<a href=""https://doi.org/10.1176/jnp.2010.22.4.iv"" target=""_blank"">https://doi.org/10.1176/jnp.2010.22.4.iv</a><p></p><a href=""https://doi.org/10.1117/1.nph.9.4.040601
"" target=""_blank"">https://doi.org/10.1117/1.nph.9.4.040601
</a><p></p><a href=""https://doi.org/10.1364/boe.6.000933 
"" target=""_blank"">https://doi.org/10.1364/boe.6.000933 
</a><p></p><a href=""https://doi.org/10.5772/32493
"" target=""_blank"">https://doi.org/10.5772/32493
</a>", , , ,Sara Sanchez-Alonso," Meryem Ayşe Yücel,Yoko Hoshi, Ann-Christine Ehlis, Judit Gervain, Katharina Stute, Guy Perkins",Complete (agreement from at least 5 team members)
Connectivity," Connectivity refers to the connections between brain regions that are spatially distributed but anatomically or functionally connected subserving information processing. There are three related forms of connectivity: (i) anatomical connectivity, (ii) functional connectivity and (iii) effective connectivity. Anatomical connectivity (AC) refers to the structural connections between brain regions (i.e., connectome). Functional connectivity (FC) refers to brain regions with a temporal dependency activation pattern (evaluated via statistical analysis). Effective connectivity (EC) refers to the causal role of a brain region activation over another one.",Neuroscience,"anatomical connectivity, functional connectivity, effective connectivity",,,"<p></p><a href=""https://doi.org/10.1155/2012/412512 
"" target=""_blank"">https://doi.org/10.1155/2012/412512 
</a>",(if applicable) ,(if applicable) ,(if applicable) ,Renato Orti,"Renato Orti, Hadi Hosseini, Margaret Chojak, Judit Gervain, Louisa Gossé, Meryem Ayşe Yücel, Ann-Christine Ehlis",Complete (agreement from at least 5 team members)
Cortex,"Cortex refers to the outermost, superficial layer of some organs (e.g. the brain but also the kidney). The brain’s cortex is referred to as cerebral cortex, and it is often the target of fNIRS investigations. The cortex of the cerebellum is referred to as cerebellar cortex.",Neuroscience,"Cerebral Cortex, Cerebellar Cortex",,"cortical surface, gray matter","<a href="" M.F. Bear, B.W. Connors, and M.A. Paradiso. Neuroscience: Exploring the brain. Neuroscience: Exploring the Brain. Lippincott Williams & Wilkins, 2007.https://psycnet.apa.org/record/2007-18995-000 "" target=""_blank""> M.F. Bear, B.W. Connors, and M.A. Paradiso. Neuroscience: Exploring the brain. Neuroscience: Exploring the Brain. Lippincott Williams & Wilkins, 2007.https://psycnet.apa.org/record/2007-18995-000 </a>", , , ,OntoNIRS," Kim Meidenbauer, Chiara Bulgarelli, David Mehler, Lauren Emberson, Judit Gervain, SImone Cutini",Complete (agreement from at least 5 team members)
Cortical (cerebral) oxygen saturation,"Cortical oxygen saturation is the regional cortical hemoglobin saturation, measured by cerebral tissue oximeters based on near infrared spectroscopy methods, in the small vessels (<1 mm in diameter) of the cerebral cortex such as the capillary, arteriolar and venular bed.  ",Neuroscience, Regional cerebral tissue hemoglobin oxygen saturation. Regional cerebral (oxygen) saturation. Brain oxygen saturation. Cerebral oxygenation  ,ScO2,"StO2, rSO2, SctO2, or rStO2","<a href=""https://doi.org/10.1053/j.jvca.2021.07.015 "" target=""_blank"">https://doi.org/10.1053/j.jvca.2021.07.015 </a>", , , ,Valentina Quaresima," Heidrun Wabnitz, Hadi Hosseini,Yoko Hoshi, Judit Gervain",Complete (agreement from at least 5 team members)
Cytochrome-c-Oxidase,Cytochrome-c-Oxidase is an enzyme complex that plays a central role in the mitochondrial electron transport cascade leading to adenosine triphosphate (ATP) synthesis by oxidative phosphorylation. Its activity depends on energy demands. Cytochrome-c-Oxidase redox state can be measured with broadband NIRS. ,Neuroscience,bNIRS,oxCCO,"aa3, CuA, CytC","<a href=""National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov. "" target=""_blank"">National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov. </a><p></p><a href=""https://doi.org/10.1007%2F978-3-319-55231-6_19
"" target=""_blank"">https://doi.org/10.1007%2F978-3-319-55231-6_19
</a><p></p><a href=""https://doi.org/10.1098/rstb.1997.0048 
"" target=""_blank"">https://doi.org/10.1098/rstb.1997.0048 
</a>", Check doi: 10.1098/rstb.1997.0048  for complete alternative definition. , , ,OntoNIRS," David Mehler, Paola Pinti, Ilias Tachtsidis, Meryem Ayşe Yücel, Judit Gervain",Complete (agreement from at least 5 team members)
Deoxygenated Hemoglobin,"Deoxygenated hemoglobin is a form of the hemoglobin molecule that has released its bound oxygen molecule(s) and is therefore carrying no oxygen. Hemoglobin is the protein in red blood cells that carries oxygen to the body's tissues. When oxygen binds to hemoglobin, it changes the conformation of the protein, making it more compact and changing its color from blue to red, which is why oxygenated blood appears bright red. Conversely, when the oxygen molecules detach from hemoglobin, the protein's conformation changes back to its original state, making it more open and revealing a bluish-purple hue, which is why deoxygenated blood appears dark red. Measuring the amount of deoxygenated hemoglobin in the blood can provide information about oxygen delivery and utilization in different organs and tissues, which can be useful in various clinical and experimental settings.",Neuroscience,"Oxygenated Hemoglobin, Total Hemoglobin","HbR, deoxy-HB, HHb",,"<a href=""National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov. "" target=""_blank"">National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov. </a><p></p><a href=""https://doi.org/10.1007%2F978-3-319-55231-6_19
"" target=""_blank"">https://doi.org/10.1007%2F978-3-319-55231-6_19
</a><p></p><a href=""https://doi.org/10.1098/rstb.1997.0048 
"" target=""_blank"">https://doi.org/10.1098/rstb.1997.0048 
</a>", , , ,Hadi Hosseini," Ali Rahimpour Jounghani, Margaret Chojak, Judit Gervain, Abi Fiske, Simone Cutini",Complete (agreement from at least 5 team members)
Differential Hemoglobin,"Differential Hemoglobin is calculated as the difference between HbO2 and HbR, Hbdiff = HbO2 – HbR.",Neuroscience,"Total Hemoglobin, Deoxygenated Hemoglobin, Oxygenated Hemoglobin","Hbdiff, Δ[HbDiff], HbD",,"<p></p><a href=""https://doi.org/10.1007/978-0-387-85998-9_47,
"" target=""_blank"">https://doi.org/10.1007/978-0-387-85998-9_47,
</a><p></p><a href=""https://doi.org/10.1016/S0166-2236(97)01132-6,
"" target=""_blank"">https://doi.org/10.1016/S0166-2236(97)01132-6,
</a><p></p><a href=""https://doi.org/10.1117/1.NPh.9.2.025001 
"" target=""_blank"">https://doi.org/10.1117/1.NPh.9.2.025001 
</a>", , , ,Chiara Bulgarelli," Hanieh Zainodini, Felix Scholkmann, Ishara Paranawithana, Jessica Gemignani, Chia-Chuan Yu, Margaret Chojak, Judit Gervain",Complete (agreement from at least 5 team members)
Effective connectivity,"The effective connectivity is the causal influences that neural units exert over another (as opposed to functional connectivity that only describes associative relations between neuronal units). Several approaches are available for detecting and quantifying effective connectivity. These techniques allow researchers to examine how different regions of the brain are connected and often to estimate the strength and directionality of these connections, and in the case of dynamic connectivity, also their change over time or in response to different experimental manipulations.",Neuroscience,"Anatomical/Structural connectivity, Functional connectivity, Granger causality, dynamic causal modeling, partial directed coherence, directed transfer function, transfer entropy, dynamic functional connectivity,  dynamic effective connectivity",EC, ,"<p></p><a href=""https://doi.org/10.1089/brain.2011.0008
"" target=""_blank"">https://doi.org/10.1089/brain.2011.0008
</a><p></p><a href=""https://doi.org/10.1007/s11517-011-0739-x.
"" target=""_blank"">https://doi.org/10.1007/s11517-011-0739-x.
</a><p></p><a href=""https://doi.org/10.1002/hbm.460010108
"" target=""_blank"">https://doi.org/10.1002/hbm.460010108
</a>", , , ,Mahmoud Elsherif," Felipe Orihuela-Espina, Lenaic Borot, Felix Scholkmann, Ishara Paranawithana, Talukdar Raian Ferdous, Christian Gerloff, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Extracerebral,"Extracerebral means outside of the brain (cerebrum). In fNIRS research, the term is used either to describe the structures in the probed tissue volume, which is not part of the organ of interest, such as skin, skull and CSF. The extracerebral ‘contamination’ of the fNIRS signal is related to systemic blood flow and volume changes that occur in scalp, skull, or other extracerebral tissues. Extracerebral signals can mask the cerebral signals measured by fNIRS.",Neuroscience,"Noise, Physiological Noise, Extracerebral Systemic Activity, Short-distance channels",,extra-cerebral,not applicable, , , ,"Thomas Dresler, Meryem Ayşe Yücel","Franziska Klein, Talukdar Raian Ferdous, Murat Can Mutlu, Heidrun Wabnitz, Rickson Mesquita, Paola Pinti, Ann-Christine Ehlis, Judit Gervain, Simone Cutini",Complete (agreement from at least 5 team members) 
Functional connectivity,"Functional connectivity (FC) is defined as the statistical dependency between two or more time series originating from different brain regions. FC analyses are mostly conducted to investigate how neural activity is correlated in time between brain regions or networks. FC can be calculated during different states (e.g., during rest or during performance of a task). In task-related contexts, it is important to consider the effect of task-related activity in resulting FC measures, as an external signal or stimulus can result in similar temporal profiles of FC across regions without these regions being connected per se. ",Neuroscience / Analysis ,"Resting-state functional connectivity (rsFC), Task-state functional connectivity (tsFC), resting state networks (RSN), dynamic functional connectivity, connectivity",FC,,"<a href=""https://doi.org/10.1016/j.neuroimage.2018.01.053"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2018.01.053</a><p></p><a href=""https://doi.org/10.3389/fnsys.2015.00175 
"" target=""_blank"">https://doi.org/10.3389/fnsys.2015.00175 
</a><p></p><a href=""https://doi.org/10.1117/1.3462973 
"" target=""_blank"">https://doi.org/10.1117/1.3462973 
</a><p></p><a href=""https://doi.org/10.1162/jocn_a_01828 
"" target=""_blank"">https://doi.org/10.1162/jocn_a_01828 
</a>", , , ,"Gregoire Vergotte, Chia-Chuan Yu, Lauren Emberson","Gregoire Vergotte, Ségolène Guérin  Agnes Kroczek, Aykut Eken, Oliver Seidel-Marzi, Chiara Bulgarelli, Ishara Paranawithana, David Mehler, Lauren Emberson, Margaret Chojak, Ann-Christine Ehlis, Judit Gervain, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members) 
Functional hyperemia,"Functional hyperemia is an increase in blood flow in response to neural metabolic activity. In the brain, this mechanism ensures sufficient supply of oxygen and nutrients to active regions during periods of heightened neural activity. It is crucial for normal physiological brain function and is disrupted in pathological processes, including neurological (e.g. stroke, traumatic brain injury, and neurodegenerative diseases) and metabolic (e.g. diabetes) diseases.",Neuroscience,Hyperemia,,,"<a href=""https://doi.org/10.1177%2F1073858417703033 https://doi.org/10.1161/01.STR.29.1.229  "" target=""_blank"">https://doi.org/10.1177%2F1073858417703033 https://doi.org/10.1161/01.STR.29.1.229  </a>", , , ,Rob J. MacLennan,"Talukdar Raian Ferdous, David Mehler, Heidrun Wabnitz, Meryem Ayşe Yücel,Yoko Hoshi, Judit Gervain",Complete (agreement from at least 5 team members)
Functional Localization,"Functional localization refers to the process of using a well-defined task to decide which brain regions are selective, i.e. show statistically significant activation, for a particular function, and then testing if the same brain regions are engaged in a second task. For example, participants perform a finger tapping task to assess the location of motor functions and the channel(s) with the strongest motor response(s) in each participant is (are) taken as that person’s functional ROI. The same participants then perform a motor planning task and the brain response to motor planning is assessed ONLY in the functional ROI. Note the functional ROI is defined by the first task and could be in a different location in each participant. This method is common in fMRI but less common in fNIRS.",Neuroscience,Hyperemia,,,"<a href=""https://doi.org/10.1177%2F1073858417703033 https://doi.org/10.1161/01.STR.29.1.229  "" target=""_blank"">https://doi.org/10.1177%2F1073858417703033 https://doi.org/10.1161/01.STR.29.1.229  </a>", , , ,Hadi Hosseini," Ali Rahimpour Jounghani, Aykut Eken, Hadi Hosseini; Antonia Hamilton, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Gray Matter,"Gray matter is the brain tissue which contains the neuronal cell bodies and synapses. The largest part is in the cerebral cortex, but the basal ganglia and thalamus are also gray matter structures which are embedded in the white matter. The cerebrum, brainstem and cerebellum, and throughout the spinal cord have gray matter. It is distributed at the surface of the cerebral hemispheres (cerebral cortex) and of the cerebellum (cerebellar cortex). It is distinguished from white matter, which mostly consists of (myelinated) axons, and derives its whitish color from the color of myelin. ",Neuroscience,white matter,GM,,"<p></p><a href="" Mercadante AA, Tadi P. Neuroanatomy, Gray Matter (2023)Treasure Island (FL): StatPearls Publishing; PMID: 31990494. https://pubmed.ncbi.nlm.nih.gov/31990494/ 
"" target=""_blank""> Mercadante AA, Tadi P. Neuroanatomy, Gray Matter (2023)Treasure Island (FL): StatPearls Publishing; PMID: 31990494. https://pubmed.ncbi.nlm.nih.gov/31990494/ 
</a><p></p><a href=""https://doi.org/10.1002/glia.23614
"" target=""_blank"">https://doi.org/10.1002/glia.23614
</a>",(if applicable) ,(if applicable) ,(if applicable) ,Aykut Eken,"Chia-Chuan Yu, Margaret Chojak, Yoko Hoshi, Judit Gervain, Simone Cutini",Complete (agreement from at least 5 team members)
Hemisphere,Hemisphere refers to a half of the cerebrum. The two hemispheres have slight anatomical differences and slightly distinct functional specializations. The right hemisphere controls the left side of the body and vice versa. Such lateralization can readily be measured using fNIRS for many neural functions.,Neuroscience,"Lateralization, Lobe, Cerebrum",,Right lobe,"E. Kandel. Principles of Neural Science, Fifth Edition. Principles of Neural Science. McGraw-Hill Education, 2013.", , , ,OntoNIRS,"Lenaic Borot , Ali Rahimpour Jounghani, Christina Artemenko, Chiara Bulgarelli, Ann-Christine Ehlis, Mahmoud Elsherif, Lauren Emberson, Margaret Chojak, Judit Gervain, Louisa Gossé",Complete (agreement from at least 5 team members) 
Hemodynamic response,"Hemodynamic response is a change in blood flow in response to an increase in local metabolic demands due to an increase in neuronal activity. In the measured fNIRS signal, this is reflected as a change in oxy- and deoxy-hemoglobin concentrations. Typically the blood flow response overcompensates the demand leading to a focal hyperoxygenation in the activated area. The peak of the hemodynamic response is detectable by NIRS at about 6 seconds (4-8 s) after the onset of the event. Hemodynamic response is typically characterized by a large increase in Oxy-Hb  and a smaller decrease in the concentration of deoxygenated hemoglobin (but may - depending on the measurement area - also show no change or even increase during a hemodynamic response) resulting in the characteristic anticorrelated signal structure of oxy- and deoxy-hemoglobin. Features of the hemodynamic response function (HRF) have been shown to change with age or disease.",Neuroscience,"Blood oxygen level dependent response, neurovascular coupling, hemodynamic response function (HRF), initial dip",HR,"hemodynamic responses, hemodynamic responses","M.A. Arbib and J.J. Bonaiuto. From Neuron to Cognition Via Computational Neuroscience. Computational Neuroscience Series. MIT Press, 2016.<p></p><a href=""https://doi.org/10.1016/j.neuroimage.2005.08.065 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2005.08.065 
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2007.02.035
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2007.02.035
</a><p></p><a href=""https://doi.org/10.1088/0031-9155/47/7/309 
"" target=""_blank"">https://doi.org/10.1088/0031-9155/47/7/309 
</a><p></p>
", , , ,"OntoNIRS,  Meryem Ayşe Yücel"," Kim Meidenbauer, Beatrix Barth, Agnes Kroczek, Ann-Christine Ehlis, Chiara Bulgarelli, David Mehler, Judit Gervain, Simone Cutini",Complete (agreement from at least 5 team members)
Hemoglobin,"Hemoglobin is the oxygen-carrying pigment and the predominant protein in the red blood cells that is responsible for delivery of oxygen to the tissues. Each hemoglobin molecule is made up of four subunits (globins) each containing a heme group. Heme contains iron, which gives a red color to the molecule. Hemoglobin forms an unstable, reversible bond with oxygen. In its oxygenated state it is called oxyhemoglobin (O2Hb) and is bright red. In its reduced state it is called deoxyhemoglobin (HHb) and is purple-blue. O2Hb and HHb have different magnetic and optical properties that give rise to functional magnetic resonance imaging (fMRI) and functional near-infrared spectroscopy (fNIRS) signals. O2Hb is diamagnetic (i.e. it shows a weak repulsion in magnetic fields) and has an optical absorption around 660nm. In contrast, HHb is paramagnetic (i.e. it shows a weak attraction in magnetic fields) and has an optical absorption around 760 nm.   Hemoglobin concentrations in the blood depend on physiological processes and are thus affected in certain diseases (e.g. malnourishment) that can result in anemia. ",Neuroscience,"Oxyhemoglobin, Deoxyhemoglobin, Total Hemoglobin, Anaemia",Hb,,"F.G. Ashby. Statistical Analysis of FMRI Data. EBSCO ebook academic collection. MIT Press, 2011.<p></p><a href=""Billett HH. Hemoglobin and Hematocrit. In: Walker HK, Hall WD, Hurst JW, editors. Clinical Methods: The History, Physical, and Laboratory Examinations. 3rd edition. Boston: Butterworths; 1990. https://www.ncbi.nlm.nih.gov/books/NBK259/
"" target=""_blank"">Billett HH. Hemoglobin and Hematocrit. In: Walker HK, Hall WD, Hurst JW, editors. Clinical Methods: The History, Physical, and Laboratory Examinations. 3rd edition. Boston: Butterworths; 1990. https://www.ncbi.nlm.nih.gov/books/NBK259/
</a><p></p><a href=""https://doi.org/10.1038/npjparkd.2016.21 
"" target=""_blank"">https://doi.org/10.1038/npjparkd.2016.21 
</a>", , , ,"OntoNIRS, Valentina Quaresima","Kim Meidenbauer, Beatrix Barth, Oliver Seidel-Marzi, David Mehler, Rob J MacLennan, Margaret Chojak, Meryem Ayşe Yücel, Judit Gervain",Complete (agreement from at least 5 team members)
Homologous Connectivity,"Homologous connectivity refers to the connectivity between corresponding brain regions or areas in the left and right hemispheres. They are often referred to as ""mirror"" areas due to their similar structure and function: for example, the correlation between activity in the left dorsolateral prefrontal cortex and the right dorsolateral prefrontal cortex. ",Neuroscience,Bilateral Connectivity,HC,"Inter-hemispheric (homologous) Connectivity, Homotopic Connectivity","<a href=""https://doi.org/10.1038/s41598-019-40188-3 "" target=""_blank"">https://doi.org/10.1038/s41598-019-40188-3 </a>", , , ,Ishara Paranawithana," Talukdar Raian Ferdous, Chiara Bulgarelli, Lauren Emberson, Renato Orti, Laura Diprossimo, Judit Gervain",Complete (agreement from at least 5 team members)
Initial dip,"The initial dip describes a transient negative response that can be sometimes observed in blood-oxygenation level-dependent (BOLD) / hemodynamic signals. It is assumed to reflect the preliminary stages of the neural metabolic response that causes a transient decrease in oxygenated hemoglobin just prior to the much larger ensuing hemodynamic response leading to an increase in focal oxygenation. The initial dip has been subject to substantial debate because it cannot always be observed. Many factors likely contribute to whether it appears and to what degree, including physiological conditions, participant age, experimental methodologies, species, regions, data analysis. Nethertheless, the initial dip is modeled as part of the canonical hemodynamic response function for BOLD fMRI analyses.   ",Neuroscience,"blood-oxygenation level-dependent (BOLD) response, hemodynamic response, hemodynamic response function",,,"<a href=""https://doi.org/10.1016/j.neuroimage.2012.03.005"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2012.03.005</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2012.03.005
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2012.03.005
</a><p></p><a href=""https://doi.org/10.3389/fnbot.2018.00069
"" target=""_blank"">https://doi.org/10.3389/fnbot.2018.00069
</a><p></p><a href=""https://doi.org/10.1364/BOE.8.000367
"" target=""_blank"">https://doi.org/10.1364/BOE.8.000367
</a>", , , ,"Renato Orti, David Mehler"," Ségolène Guérin, Oliver Seidel-Marzi, David Mehler, Michael Lührs, Abi Fiske, Yoko Hoshi, Ann-Christine Ehlis, Judit Gervain, Simone Cutini",Complete (agreement from at least 5 team members)
Inter-personal neural synchrony,Synchronized fluctuations of brain signals between two or more individuals observed during social interaction or when the individuals participate in joint tasks. fNIRS naturally lends itself to the characterization of inter-personal neural synchrony because of its ease of recording when two individuals are interacting. The typical setup to measure inter-personal neural synchrony is hyperscanning.,Neuroscience,Hyperscanning,INS,"Inter-personal brain synchrony; Brain-to-brain synchrony, inter-subject connectivity","<a href=""https://doi.org/10.1093/scan/nsaa115  https://doi.org/10.1016/j.neuroimage.2021.118263 https://doi.org/10.1016/j.tics.2020.01.006"" target=""_blank"">https://doi.org/10.1093/scan/nsaa115  https://doi.org/10.1016/j.neuroimage.2021.118263 https://doi.org/10.1016/j.tics.2020.01.006</a><p></p>10.1016/j.neubiorev.2023.105042
", , , ,Ségolène Guérin,"Gegoire Vergotte, Talukdar Raian Ferdous Chiara Bulgarelli, Ishara Paranawithana, David Mehler, Lauren Emberson, Margaret Chojak; Antonia Hamilton, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Intracerebral,"Occurring in, or situated within the cerebrum as opposed to in the surface vasculature or elsewhere outside the brain.",Neuroscience,Intercerebral,,,"<a href=""National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov."" target=""_blank"">National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov.</a>", , , ,OntoNIRS," David Mehler, Lauren Emberson, Rob J MacLennan Laura Diprossimo, Louisa Gossé, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Intracranial,Intracranial refers to something situated or occurring in the skull (cranium). ,Neuroscience,,,,"<a href=""National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov."" target=""_blank"">National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov.</a>", , , ,OntoNIRS," David Mehler, Lauren Emberson, Renato Orti, Hadi Hosseini, Laura Diprossimo, Chia-Chuan Yu,  Louisa Gossé, Meryem Ayşe Yücel, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Inverted Hemodynamic Response,"The inverted hemodynamic response is a response where oxy-Hb decreases and deoxy-Hb increases in response to a stimulus.  The inverted hemodynamic response is occasionally observed in adult participants, and somewhat more frequently in developmental populations. The exact reasons for its occurrence are not fully clear, it may be related to individual variability, age and the immaturity of the hemodynamic response, in particular in infants, but it is sometimes also related to the experimental task or stimuli, (e.g. when the baseline stimuli trigger a stronger response than the experimental stimuli), or to systemic changes (e.g. decrease in partial pressure of CO2). ",Neuroscience,negative BOLD response,,,"<p></p><a href=""https://doi.org/10.1016/j.dcn.2018.01.009 
"" target=""_blank"">https://doi.org/10.1016/j.dcn.2018.01.009 
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2016.08.058 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2016.08.058 
</a>", , , ,Judit Gervain," Paola Pinti, Chiara Bulgarelli, Louisa Gossé",Open for review
Mayer waves,"Mayer waves are slow oscillations of arterial pressure occurring spontaneously at a frequency lower than respiration $\\sim$ 0.1 Hz in humans). They are tightly coupled with synchronous oscillations of efferent sympathetic nervous activity and are almost invariably enhanced during states of sympathetic activation. Mayer waves are correlated with heart rate variability. They are strongest in adult participants in a sitting or standing position, whereas they are attenuated in the supine position as well as in infants and young children.",Neuroscience,"arterial blood pressure oscillations, systemic activity, filtering",,,"<a href=""https://doi.org/10.1016/j.cardiores.2005.11.008"" target=""_blank"">https://doi.org/10.1016/j.cardiores.2005.11.008</a><p></p><a href=""https://doi.org/10.1117/1.NPh.8.4.041001 
"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.4.041001 
</a><p></p><a href=""https://doi.org/10.1142/S0129065720500033 
"" target=""_blank"">https://doi.org/10.1142/S0129065720500033 
</a>", , , ,OntoNIRS," Margaret Chojak, Beatrix Barth, Franziska Klein, Lauren Emberson, Michael Lührs, Judit Gervain, Meryem Ayşe Yücel, Valentina Quaresima",Complete (agreement from at least 5 team members)
Melanin,"Melanin, a poly-indolequinone biopolymer, is a high refractive index brown-black pigment produced and stored by melanosomes, organelles of the melanocytes at the base of the epidermis. Melanin is composed of nanoparticles that are 30–50 nm in size, in which melanin monomers are cross-linked together and form stacking structures. Melanin absorbs light in the UV, visible, and near-infrared regions and protects tissues by scattering or dissipating light. Darker skin tones have significantly larger and more concentrated melanosomes that increase the absorption cross section of melanin resulting in enhanced light absorption. Extracranial contamination (including skin melanin concentration) do not affect NIRS measurements, since the concentration of melanin remains constant over the measuring period. It thus affects noise level, but not the changes in optical properties due to the hemodynamic response.  ",Neuroscience,,MP (melanin pigment),,"<a href=""https://doi.org/10.1152/physrev.00059.2017"" target=""_blank"">https://doi.org/10.1152/physrev.00059.2017</a><p></p><a href=""https://doi.org/10.3389/fnins.2023.1086208
"" target=""_blank"">https://doi.org/10.3389/fnins.2023.1086208
</a>", , , ,Valentina Quaresima," Mahmoud Elsherif, Franziska Klein, Judit Gervain",Complete (agreement from at least 5 team members)
